"","Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Do you wish to proceed with the study, understanding that audio recordings of your singing and speaking will be shared publicly (under a CC BY-NC non-commercial open access license)?","group","ID","How much do you agree with the following statements? - ""I enjoy singing with others""","How much do you agree with the following statements? - ‘‘I trust the other participants”","How much do you agree with the following statements? - “I enjoy speaking with others""","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""","How much do you agree with the following statements? - “Singing with others makes me feel uncomfortable or embarrassed’’","How much do you agree with the following statements? - “I think I am similar to the other participants’’","How much do you agree with the following statements? - “Speaking with others makes me feel uncomfortable or embarrassed’’","How much do you agree with the following statements? - “I feel strong ties to the other participants”","How much do you agree with the following statements? - ""I have a lot in common with the other participants""","How much do you agree with the following statements? - ""I am someone who is outgoing or sociable”","How close do you feel to all the other participants? - 1","How much do you agree with the following statements? - “The task was difficult""","How much do you agree with the following statements? - ‘‘I trust the other participants”","How much do you agree with the following statements? - “The task was enjoyable’’","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""","How much do you agree with the following statements? - “The task made me feel uncomfortable or embarrassed’’","How much do you agree with the following statements? - “I think I am similar to the other participants’’","How much do you agree with the following statements? - “I followed the instructions well”","How much do you agree with the following statements? - “I was synchronized with the other participants”","How much do you agree with the following statements? - “I feel strong ties to the other participants”","attention","How much do you agree with the following statements? - ""I have a lot in common with the other participants""","How much do you agree with the following statements? - ""One of our group acted as a leader in the task""","How close do you feel to all the other participants? - 1","Imagine that all participants can anonymously contribute some of their payment to a pool of money that will be multiplied by 1.5 and divided equally among the participants. The more you contribute, the more all participants will receive on average, but the less you contribute the more you personally will receive in the end. So, if everyone in a group of 5 contributes 50% of their payment (e.g., $5), each person in the group would get $12.50 instead of $10. If, however, the others all contribute 50% but you contribute 0%, the others would receive $11 total but you would receive $16. No one will know how much any other individual chose to contribute, only the total amount.


How much would you realistically want to contribute to the shared pool (from 0%-100%)? - % contribution to the shared pool","What do you think was the goal of the experiment, and what do you think the results will be?","How much do you agree with the following statements? - “The tasks were difficult""","How much do you agree with the following statements? - ‘‘I trust the other participants”","How much do you agree with the following statements? - “The tasks were enjoyable’’","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""","How much do you agree with the following statements? - “The tasks made me feel uncomfortable or embarrassed’’","How much do you agree with the following statements? - “I think I am similar to the other participants’’","How much do you agree with the following statements? - “I followed the instructions well”","How much do you agree with the following statements? - “I was synchronized with the other participants”","How much do you agree with the following statements? - “I feel strong ties to the other participants”","How much do you agree with the following statements? - ""I have a lot in common with the other participants""","How much do you agree with the following statements? - ""One of our group acted as a leader in the tasks""","How close do you feel to all the other participants? - 1","How old are you?","What is your gender? - Selected Choice","What is your gender? - Other (please describe, e.g., ""non-binary"") - Text","What is (are) your 1st/native language(s)?","What ethnic/racial group(s) do you identify as?","What (if any) religious group(s) are you affiliated with?","What city and country are you performing this experiment in?","What city and country were you born in?","How much do you agree with the following statements? - ""I consider myself a musician""","How much do you agree with the following statements? - “I have been complimented for my talents as a musical performer.","How much do you agree with the following statements? - ""I know the song we sung""","How much do you agree with the following statements? - ""I like the song we sang""","How much do you agree with the following statements? - ""I sing regularly""","How many years of formal musical training have you had in singing?","How many years of formal musical training have you had in musical instruments?","I have had training on the following musical instrument(s)","How many  of the other participants in the group have you seen or met before?","If you answered more than 0 to the previous question, please rate how well on average you knew all of the other participants - Average familiarity","Do you have any comments regarding the study?"
"1","21/03/2025 13:11","21/03/2025 13:41","IP Address","NA","100","1812","TRUE","21/03/2025 13:41","NA",NA,NA,NA,NA,"51.5128","-0.0638","qr","ZH-S","I give consent","S","9","63","60","62","81","14","53","19","49","55","30","48","10","77","30","52","18","28","81","59","49","81","50","21","53","12.54","音乐与语言的关系？","72","76","45","53","24","68","81","13","47","39","25","52","28","Man",NA,"中文","中国人",NA,"英国伦敦","中国","85","81","89","84","14","0","06-Sep","钢琴","3","20","无意见"
"2","21/03/2025 13:11","21/03/2025 13:41","IP Address","NA","100","1841","TRUE","21/03/2025 13:41","NA",NA,NA,NA,NA,"51.4964","-0.1224","qr","ZH-S","I give consent","S","6","11","45","65","11","65","46","25","2","1","30","5","0","10","36","17","44","4","96","58","8","99","4","0","1","0.32","I don't know","0","11","55","13","0","6","100","61","5","9","0","12","26","Man",NA,"Mandarin","Chinese","n/a","London, UK","Kaohsiung City, Taiwan","0","0","89","49","0","0","0",NA,"0",NA,"no"
"3","21/03/2025 13:13","21/03/2025 13:42","IP Address","NA","100","1710","TRUE","21/03/2025 13:42","NA",NA,NA,NA,NA,"52.4867","-1.8989","qr","ZH-S","I give consent","S","4","72","55","73","46","33","35","21","12","28","40","28","6","52","72","71","6","41","100","83","39","100","39","8","55","19.11","对比合唱前后人们对彼此看法，连接程度，团队感","27","34","50","37","37","42","100","61","39","40","7","46","27","Man",NA,"中文","中国人","无","英国伦敦","中国安徽铜陵","26","57","100","78","68","0","03-May","电子琴，钢琴","2","21","无"
"4","21/03/2025 13:11","21/03/2025 13:42","IP Address","NA","100","1864","TRUE","21/03/2025 13:42","NA",NA,NA,NA,NA,"51.5081","-0.1278","qr","ZH-S","I give consent","S","5","99","48","76","36","0","0","10","13","14","78","17","49","24","67","48","2","3","83","76","48","57","5","10","41","50.48","来探究合唱和群体信任之间的关系或者影响","7","7","49","6","7","24","86","56","29","29","14","39","28","Man",NA,"中文","中国人",NA,"英国","中国 咸阳市","48","73","91","77","96","0","0.5","吉他","0",NA,NA
"5","21/03/2025 13:11","21/03/2025 13:42","IP Address","NA","100","1858","TRUE","21/03/2025 13:42","NA",NA,NA,NA,NA,"51.4964","-0.1224","qr","ZH-S","I give consent","S","3","75","29","49","34","56","26","33","13","56","67","29","0","67","79","75","5","61","87","87","71","54","59","11","55",NA,"Does synchronised singing enhance social bonding more than speaking does?","13","65","56","59","25","25","88","63","49","44","20","33","24","Prefer not to answer",NA,"普通话","中国人","无","英国伦敦","中国天津","18","62","87","63","31","0.5","03-May","萨克斯葫芦丝架子鼓古筝","0",NA,NA
"6","21/03/2025 13:11","21/03/2025 13:42","IP Address","NA","100","1876","TRUE","21/03/2025 13:42","NA",NA,NA,NA,NA,"51.5128","-0.0638","qr","ZH-S","I give consent","S","8","51","90","53","51","50","50","52","41","38","32","11","39","50","50","77","27","49","100","100","52","85","41","53","36","50.48","研究音乐能不能让人与人之间的关系更紧密","6","99","76","62","17","15","95","65","42","34","47","23","24","Woman",NA,"中文（粤语）","中国人","无","英国伦敦","中国广东","23","48","100","77","46","0.5","1","吉他，笛子","1","19","没什么意见"
"7","21/03/2025 13:11","21/03/2025 13:42","IP Address","NA","100","1878","TRUE","21/03/2025 13:42","NA",NA,NA,NA,NA,"51.5689","0.008","qr","EN","I give consent","S","7","100","18","76","9","5","3","37","2","1","33","4","21","6","68","2","2","2","63","25","2","94","1","2","2","0","to see if group singing can strengthen the tie between strangers. I believe it will, but only to a limited extend.","2","2","18","2","3","1","90","5","2","2","2","2","23","Other (please describe, e.g., ""non-binary"")","non binary","Wu Chinese","Chinese","N/A","London","Taizhou, China","60","60","70","65","98","2","06-Sep","violin","0",NA,"no"
"8","21/03/2025 13:11","21/03/2025 13:43","IP Address","NA","100","1907","TRUE","21/03/2025 13:43","NA",NA,NA,NA,NA,"52.4867","-1.8989","qr","ZH-S","I give consent","S","2","43","51","76","52","40","51","18","53","15","66","29","20","68","48","51","9","68","100","94","51","98","60","50","37","51.04","音乐和语言的关系","20","66","82","99","15","70","100","100","74","73","90","56","24","Woman",NA,"中文","中国人","无","英国","中国","13","78","90","78","70","06-Sep","06-Sep","竹笛","1","17","无"
"9","21/03/2025 13:11","21/03/2025 13:43","IP Address","NA","100","1944","TRUE","21/03/2025 13:43","NA",NA,NA,NA,NA,"52.4867","-1.8989","qr","ZH-S","I give consent","S","1","77","81","56","64","47","52","53","34","35","33","50","11","68","60","67","39","51","100","88","63","86","51","51","58","59.8","调查合唱是否增加情感连接","5","77","87","69","41","72","100","60","61","61","51","63","32","Man",NA,"中文","中国人","无","英国伦敦","中国长沙","67","57","100","68","49","1","10 or more","钢琴，小提琴","1","6","无"
"10","21/03/2025 13:59","21/03/2025 14:29","IP Address","NA","100","1791","TRUE","21/03/2025 14:29","NA",NA,NA,NA,NA,"51.5017","-0.0617","qr","ZH-S","I give consent","C","5","54","52","1","0","0","100","0","0","12","16","57","37","41","39","45","47","43","38","46","48","43","53","55","57","51.77","用户认知","60","54","49","85","42","47","52","50","71","56","43","80","28","Man",NA,"中文","中国人","基督","伦敦","杭州","0","7","8","10","12","0.5","0.5",NA,"0",NA,"实验用户参与任务完成"
