StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,group,Q1a,Q1b,Q1b_5_TEXT,Q1c,Q1d,Q1e,Q1f,Q1g_1,Q1g_2,Q1h_1,Q1h_2,Q1i,Q1j,Q1k_1,Q1k_2,Q1k_3,Q1k_4,Q1k_5,Q1k_9,Q1k_10,Q1l_1,Q1l_2,Q1l_3,Q1m_1,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q2b_1,Q2c_1,Q3a_1,Q3a_2,Q3a_3,Q3a_4,Q3a_5,Q3a_6,Q3a_7,Q3a_8,Q3b_1,Q4a_1,Q4a_2,Q4a_3,Q4a_4,Q4a_5,Q4a_6,Q4a_7,Q4a_8,Q4b_1,Q5a_1,Q5a_2,Q5a_3,Q5a_4,Q5a_5,Q5a_6,Q5a_7,Q5a_8,5b_1,Q6a_1,Q6a_2,Q6a_3,Q6a_4,Q6a_5,Q6a_6,Q6a_7,Q6a_8,Q6b_1,Q7a,Q7b
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you wish to proceed with the study?,"What is the ""Group ID"" listed on the screen?",What is your year of birth?,What is your gender? - Selected Choice,What is your gender? - 5 - Text,What is (are) your 1st/native language(s)?,What ethnic/racial group(s) do you identify as?,Where are you performing this experiment?,Where were you born?,"How much do you agree with the following statements? - ""I consider myself a musician""",How much do you agree with the following statements? - “I have been complimented for my talents as a musical performer.,"How many years of formal musical training (e.g., singing/instrument lessons) have you had? - Singing","How many years of formal musical training (e.g., singing/instrument lessons) have you had? - Musical instruments",I have had training on the following musical instrument(s),How many  of the other participants in the group have you seen or met before?,"If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #1","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #2","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #3","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #4","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #5","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #6","If you answered more than 0 to the previous question, please rate how well you knew each of the participants you had seen or met before (only respond for as many participants as needed) - Known participant #7","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How much do you agree with the following statements? - “The task was difficult’’,How much do you agree with the following statements? - “The task was enjoyable’’,How much do you agree with the following statements? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements? - “I followed the instructions well”,How much do you agree with the following statements? - “I was synchronized with the other participants”,How close do you feel to all the other participants? - 1,"Imagine that all participants can contribute up to $10 of their payment to a pool of money that will be multiplied by 1.5 and divided equally among the participants. The more you contribute, the more all participants will receive on average, but the less you contribute the more you personally will receive in the end. 
How much would you like to contribute to the shared pool (from $0-$10)? - $ amount to be shared among all participants","How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How much do you agree with the following statements? - “The task was difficult’’,How much do you agree with the following statements? - “The task was enjoyable’’,How much do you agree with the following statements? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements? - “I followed the instructions well”,How much do you agree with the following statements? - “I was synchronized with the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How much do you agree with the following statements? - “The task was difficult’’,How much do you agree with the following statements? - “The task was enjoyable’’,How much do you agree with the following statements? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements? - “I followed the instructions well”,How much do you agree with the following statements? - “I was synchronized with the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How much do you agree with the following statements? - “The task was difficult’’,How much do you agree with the following statements? - “The task was enjoyable’’,How much do you agree with the following statements? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements? - “I followed the instructions well”,How much do you agree with the following statements? - “I was synchronized with the other participants”,How close do you feel to all the other participants? - 1,"How much do you agree with the following statements? - ""I feel like I am on the same team with the other participants""",How much do you agree with the following statements? - “I think I am similar to the other participants’’,How much do you agree with the following statements? - ‘‘I trust the other participants”,How much do you agree with the following statements? - “The task was difficult’’,How much do you agree with the following statements? - “The task was enjoyable’’,How much do you agree with the following statements? - “The task made me feel uncomfortable or embarassed’’,How much do you agree with the following statements? - “I followed the instructions well”,How much do you agree with the following statements? - “I was synchronized with the other participants”,How close do you feel to all the other participants? - 1,"What do you think was the goal of the experiment, and what do you think the results will be?",Do you have any comments regarding the study?
"{""ImportId"":""startDate"",""timeZone"":""Pacific/Auckland""}","{""ImportId"":""endDate"",""timeZone"":""Pacific/Auckland""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Pacific/Auckland""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID38""}","{""ImportId"":""QID64""}","{""ImportId"":""QID125674256_TEXT""}","{""ImportId"":""QID125674257""}","{""ImportId"":""QID125674257_5_TEXT""}","{""ImportId"":""QID125674258_TEXT""}","{""ImportId"":""QID125674260_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID49_8""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID84_2""}","{""ImportId"":""QID84_3""}","{""ImportId"":""QID84_4""}","{""ImportId"":""QID84_5""}","{""ImportId"":""QID84_6""}","{""ImportId"":""QID84_7""}","{""ImportId"":""QID84_8""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID87_2""}","{""ImportId"":""QID87_3""}","{""ImportId"":""QID87_4""}","{""ImportId"":""QID87_5""}","{""ImportId"":""QID87_6""}","{""ImportId"":""QID87_7""}","{""ImportId"":""QID87_8""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID90_3""}","{""ImportId"":""QID90_4""}","{""ImportId"":""QID90_5""}","{""ImportId"":""QID90_6""}","{""ImportId"":""QID90_7""}","{""ImportId"":""QID90_8""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}"
2024/05/16 10:23,2024/05/16 10:51,IP Address,202.36.244.229,100,1689,TRUE,2024/05/16 10:51,R_4YGvtx3KimRLFDd,,,,,-36.8506,174.7679,qr,NZEnglish,Yes - I want to continue on to the study questions,GC,1993,Non-binary,,English ,Pākehā and Māori,The university of Auckland ,Tāmaki Makaurau,71,72,09-Jun,10 or more,"Flute, piano, guitar, ukulele",0,,,,,,,,66,70,66,36,76,72,79,0,98,0,50,50,34,9.34,90,69,92,11,96,11,58,68,43,100,64,97,26,77,6,59,81,50,93,64,95,9,69,0,56,73,40,85,68,95,0,66,0,82,79,39,"I think the goal must have been to see what made us feel more connected as a group - talking, singing, or hand shaking. I think the result will be that we felt more connected from singing? ",I felt more connected after everyone sang one line individually as we all had to put ourselves out there but I’m glad the group singing was first or i wouldn’t have known the tune!
2024/05/16 10:23,2024/05/16 10:51,IP Address,202.36.244.2,100,1660,TRUE,2024/05/16 10:51,R_4HZj9CeOFnzOreJ,,,,,-36.8506,174.7679,qr,NZEnglish,Yes - I want to continue on to the study questions,GC,1983,Male,,English,Māori and Pakeha,201 building @ university of Auckland ,"Auckland, New Zealand",0,0,0,0,,0,,,,,,,,100,76,77,51,100,93,99,0,100,0,86,87,70,8,100,96,100,13,100,68,100,94,74,100,100,100,59,90,67,100,100,89,100,100,100,79,59,31,100,100,93,100,100,100,0,87,0,100,84,98,To see how singing would help you to get to know other people,"Pretty fun, well executed"
2024/05/16 10:23,2024/05/16 10:51,IP Address,202.36.244.44,100,1643,TRUE,2024/05/16 10:51,R_4mXcBtB3glCUBPI,,,,,-36.8506,174.7679,qr,NZEnglish,Yes - I want to continue on to the study questions,GC,1997,Non-binary,,English,Māori,Auckland,Auckland,100,100,05-Mar,10 or more,Guitar,0,,,,,,,,72,45,72,32,64,54,74,3,75,0,100,50,70,10,92,65,84,10,62,15,100,62,73,100,62,85,0,64,4,100,98,90,100,69,93,0,86,4,100,100,86,100,59,95,0,53,8,100,50,87,Social bonding- I think as the tasks progress people will feel more closely bonded,N/a
2024/05/16 10:26,2024/05/16 10:52,IP Address,49.224.235.109,100,1527,TRUE,2024/05/16 10:52,R_4ONUUMqhD1B27bO,,,,,-36.8506,174.7679,qr,NZEnglish,Yes - I want to continue on to the study questions,GS,1986,,Gender fluid,English,"Maori, Croatian and Scottish  ",University of Auckland ,Taranaki,75,67,0,10 or more,"Violin, Piano, recorder ensemble, saxophone, tuned percussion",1,100,,,,,,,100,68,100,50,100,35,100,68,79,61,79,72,15,10,100,78,100,28,100,30,100,100,58,95,100,100,100,22,85,21,24,61,100,100,100,0,32,0,100,100,64,100,100,100,0,52,0,100,100,73,Social bonding,Potentially we used the wrong code at the start because the reo Māori song was displayed first and then the slide was changed
2024/05/16 10:26,2024/05/16 10:51,IP Address,202.36.244.251,100,1462,TRUE,2024/05/16 10:51,R_4umuXEpzZjYWbVT,,,,,-36.8506,174.7679,qr,NZEnglish,Yes - I want to continue on to the study questions,GS,1985,Male,,English,White,Auckland,"WI, USA",98,100,10 or more,10 or more,"Piano, voice",1,82,,,,,,,61,15,42,30,62,25,48,81,46,87,75,41,52,10,71,47,63,26,75,25,89,15,60,78,43,66,73,75,57,83,59,66,67,36,63,39,34,42,84,41,40,62,36,58,15,64,56,69,20,53,Bonding,Best song?
2024/05/16 10:26,2024/05/16 10:52,IP Address,49.224.212.10,100,1513,TRUE,2024/05/16 10:52,R_4Qft5Njii8EVBPO,,,,,-36.8506,174.7679,qr,NZEnglish,Yes - I want to continue on to the study questions,GS,1994,Non-binary,,English,Pakeha,Auckland Uni,Waitakaruru,53,92,05-Mar,2,"Piano, guitar, drums",1,100,0,,,,,,97,50,50,52,98,50,50,0,100,0,96,50,49,10,95,50,50,2,99,0,100,50,52,99,50,77,0,100,0,100,75,59,100,50,75,0,50,33,100,78,60,100,73,74,0,50,29,100,69,72,To see how well you connect with strangers after a short time together while doing a shared activity.,"I enjoyed it, could be nice if the group singing had music along. Or if there was a short excert of the song that we were singing."
2024/05/16 10:27,2024/05/16 10:52,IP Address,202.36.244.12,100,1545,TRUE,2024/05/16 10:52,R_4L83jYXvKfON2O0,,,,,-36.8506,174.7679,qr,NZEnglish,Yes - I want to continue on to the study questions,GS,1959,Female,,"English, te reo Māori","Māori, Pākehā",Building 201,Whangārei ,1,0,0,0,N/a,1,84,,,,,,,37,0,43,21,50,20,61,78,78,24,88,34,33,10,74,56,65,35,77,15,76,76,45,74,59,90,67,69,50,82,50,47,96,55,88,13,88,7,97,86,70,90,61,81,0,90,0,100,94,70,Checking bonding with other people through Singing and talking together,It was fun
2024/05/16 11:13,2024/05/16 11:42,IP Address,202.36.244.2,100,1720,TRUE,2024/05/16 11:42,R_4SvHpoVV8aiad9V,,,,,-36.8506,174.7679,qr,Maori,Yes - I want to continue on to the study questions,GC,1983,Male,,English,Māori and pakeha,201 - uoa,"Auckland, New Zealand",0,0,0,0,,1,80,,,,,,,66,73,96,51,81,84,89,12,90,0,100,51,71,10,94,94,100,0,97,10,100,100,81,87,84,100,7,36,66,100,17,72,90,91,89,64,30,64,100,72,77,98,98,100,0,84,10,100,80,90,To see how comfortable a group becomes through singing or other interactions,"Well done, very easy instructions to follow.  Possibly to have a scale on The sliders so we can gauge more accurately?"
