Name,ProvidedLanguageName,GlottologL1Name,WalsGenusName,Place,Latitude,Longitude,PlaceOfLatLong,PlaceName,LanguageFamily,Choice,Memo
Jia,English,English,Germanic,"Auckland, NZ",-36.8519,174.7689,"Auckland, NZ","Auckland, NZ",Indo-European,1,
Mark Lenini Parselelo,Maasai,Masai,Eastern Nilotic,,-3,36,,,Nilotic,1,
Ulvhild Færøvik,Norwegian,Norwegian,Germanic,Bergen,60.391262,5.322054,Bergen,,Indo-European,1,
Niels Chr. Hansen,Danish,Danish,Germanic,Jyllinge,55.7535209,12.1086079,Jyllinge,,Indo-European,1,
Peter Pfordresher,English,English,Germanic,"Buffalo, NY",42.88023,-78.878738,"Buffalo, NY","Buffalo, NY",Indo-European,1,
Dilyana Kurdova,Bulgarian,Bulgarian,Slavic,Varna,43.2073873,27.9166653,Varna,,Indo-European,1,
Dhwani P. Sadaphal,Hindi,Hindi,Indic,"New Delhi, Sagar, Pune, Nagpur",21.1498134,79.0820556,Napgur,"Napgur, India",Indo-European,1,
Felix Haiduk,German,German,Germanic,"Leipzig, Germany",51.3406321,12.3747329,"Leipzig, Germany",,Indo-European,1,
Larrouy,German,German,Germanic,Frankfurt,50.1109,8.6821,Frankfurt,Frankfurt,Indo-European,1,
Psyche Loui,English,English,Germanic,Boston,42.3399,-71.0899,Boston,Boston,Indo-European,1,
Polina Proutskova,Russian,Russian,Slavic,St. Petersburg,59.938732,30.316229,St. Petersburg,,Indo-European,1,
Andrea Ravignani,Italian,Italian,Romance,"Rome, Italy",41.8933203,12.4829321,"Rome, Italy",,Indo-European,1,
Pisanski,French,French,Romance,University of Saint-Etienne,45.4397,4.3872,University of Saint-Etienne,University of Saint-Etienne,Indo-European,1,
Brenda Suyanne Barbosa,Mbyá-Guarani,Mbyá Guaraní,Maweti-Guarani,Tekoa Ko'enju (Village)/ São Miguel das Missões/ Rio Grande do Sul/ Brazil,-28.56278,-54.55417,Tekoa Ko'enju (Village)/ São Miguel das Missões/ Rio Grande do Sul/ Brazil,,Tupian,1,
Wojciech Krzyżanowski,Polish,Polish,Slavic,Gorzów Wielkopolski,52.7309926,15.2400451,Gorzów Wielkopolski,,Indo-European,1,
Urise Kuikuro,língua Kuikuro,Kuikúro-Kalapálo,Cariban,"Aldeia Afukuri (Village), Território Indígena do Xingu (Parque Indígena do Xingu), Querência - Mato Grosso - Brasil.",-12.3212,-52.5476,"Aldeia Afukuri (Village), Território Indígena do Xingu (Parque Indígena do Xingu), Querência - Mato Grosso - Brasil.",,Cariban,1,
Teona Lomsadze,Georgian,Georgian,Kartvelian,Gori,41.9818469,44.1117811,Gori,,Kartvelian,1,
Shahaboddin Dabaghi Varnosfaderani,Persian,Western Farsi,Iranian,Isfahan,32.6707877,51.6650002,Isfahan,Isfahan,Indo-European,1,
Fang Liu,Mandarin,Mandarin Chinese,Chinese,"Reading, UK",51.4551,0.9787,"Reading, UK","Reading, UK",Sino-Tibetan,1,
Huang,Mandarin,Mandarin Chinese,Chinese,"London, UK",51.5241,0.0404,"London, UK","London, UK",Sino-Tibetan,1,
Jia,Mandarin,Mandarin Chinese,Chinese,"Auckland, NZ",-36.8519,174.7689,"Auckland, NZ","Auckland, NZ",Sino-Tibetan,1,
Ma,Mandarin,Mandarin Chinese,Chinese,"Ann Arbor, MI, USA",42.2771,-83.7382,"Ann Arbor, MI, USA","Ann Arbor, MI, USA",Sino-Tibetan,1,
Gakuto Chiba,Japanese,Japanese,Japanese,Fujisawa,35.3392,139.4901,Fujisawa,Fujisawa,Japonic,1,
Shantala Hegde,Kannada,Kannada,Dravidian,Bengaluru,12.9767936,77.590082,Bengaluru,,Dravidian,1,
Adam Tierney,English,English,Germanic,Birkbeck U London,51.522071,-0.130465,Birkbeck U London,Birkbeck U London,Indo-European,1,
Florence Nweke,Yoruba,Yoruba,Defoid,Lagos,6.4550575,3.3941795,Lagos,,Atlantic-Congo,1,
Marco Antonio Correa Varella,Portuguese,Portuguese,Romance,São Paulo,-23.5506507,-46.6333824,São Paulo,São Paulo,Indo-European,1,
Javier Silva-Zurita,Spanish,Spanish,Romance,Santiago,-33.4377756,-70.6504502,Santiago,"Santiago, Chile",Indo-European,1,
Adwoa Arhine,Fante,Akan,Tano,Cape Coast,5.107467,-1.2430793,Cape Coast,,Atlantic-Congo,1,
Suzanne Purdy,Te Reo Māori,Maori,Oceanic,Auckland,-36.8519,174.7689,Auckland,Auckland,Austronesian,1,
Nori Jacoby,Hebrew,Modern Hebrew,Semitic,Jerusalem,31.768318,35.213711,Jerusalem,Jerusalem,Afro-Asiatic,1,
Leongomez,Spanish,Spanish,Romance,"Universidad El Bosque, Colombia",4.7103,-74.0322,"Universidad El Bosque, Colombia","Universidad El Bosque, Colombia",Indo-European,1,
Rogerdison Natsitsabui,Rikbaktsa,Rikbaktsa,,Cerejeira village / Juara / Mato Grosso / Brazil,-11.25141,-57.49865,,,Nuclear-Macro-Je,1,
Christina Vanden Bosch der Nederlanden,English,English,Germanic,Toronto,43.65107,-79.347015,Toronto,Toronto,Indo-European,1,
Trainor,English,English,Germanic,Hamilton,43.2609,-79.9192,Hamilton,Hamilton,Indo-European,1,
Aleksandar Arabadjiev,Macedonian,Macedonian,Slavic,"Radovis, Macedonia",41.6376,22.46184,,,Indo-European,1,
Prapatsorn Tiratanti,Thai,Thai,Kam-Tai,"Bangkok, Thailand",13.7524938,100.4935089,,,Tai-Kadai,1,
Opondo,IsiZulu,Zulu,Bantu,"Lusikisiki, Eastern Cape",-31.36144,29.56449,,,Atlantic-Congo,1,
Mason Youngblood,English,English,Germanic,NYC,40.73061,-73.935242,NYC,NYC,Indo-European,1,people who stutter
Joshua Bamford,Finnish,Finnish,Finnic,University of Jyv�skyl�,62.2365,25.7316,University of Jyv�skyl�,University of Jyv�skyl�,Uralic,1,
Ferenc Honbolygo,Hungarian,Hungarian,Hungaric,Budapest,47.497913,19.040236,Budapest,Budapest,Uralic,1,
Uswatun Khasanah,Bahasa Indonesian,Standard Indonesian,Malayo-Sumbawan,Jakarta,-6.2,106.816666,Jakarta,Jakarta,Austronesian,1,
Tudor Popescu,Romanian,Romanian,Romance,,46,25,,,Indo-European,1,
Roberto Zariquiey,Shipibo-Konibo,Shipibo-Conibo,Panoan,,-7.5,-75,,,Pano-Tacanan,1,
Silva-Zurita,Tsesungún,Huilliche,Araucanian,"Castro, Chiloé",-42.479912,-73.764839,,Castro,Araucanian,1,
Moya,Mapudungun,Mapudungun,Araucanian,"Castro, Chiloé",-42.479912,-73.764839,,Castro,Araucanian,1,
Kim,Korean,Korean,Korean,Seoul,37.5666791,126.978291,Seoul,,Koreanic,1,
Jacoby,Tsimane,Moset�n-Chiman�,Mosetenan,WALS coordinates,-14.75,-67.83,WALS coordinates,WALS coordinates,Moset�n-Chiman�,1,
Raviv,Dutch,Dutch,Germanic,"Max Planck Institute for Psycholinguistics, Nijmegen",51.818,5.8571,"Max Planck Institute for Psycholinguistics, Nijmegen","Max Planck Institute for Psycholinguistics, Nijmegen",Indo-European,1,
Duran,Newari,Kathmandu Valley Newari,Himalayish,The Shakya Foundation Nepal,27.6979,85.3049,The Shakya Foundation Nepal,The Shakya Foundation Nepal,Sino-Tibetan,1,
